Phase,Date,Prompt Title,Full Prompt,Generated Files,Endpoints,Status,Gaps
Phase 1,2026-07-03,Infra Alignment,"Extend docker-compose.yml merge don't replace. Confirm postgres redis minio. Add minio-init one-shot creating verilumen-raw-uploads verilumen-parsed verilumen-wafer-images verilumen-exports verilumen-ai-artifacts. Add worker service (same image as api command arq app.workers.WorkerSettings). Env: MINIO_* REDIS_URL REDIS_PREFIX JWT_* in .env. Dependencies: fastapi uvicorn sqlalchemy asyncpg alembic redis arq minio python-jose passlib pydantic-settings",docker-compose.yml; Dockerfile; requirements.txt; .env.example; app/core/config.py,PARTIAL,.env uses localhost — breaks api/worker inside Docker; need postgres redis minio hostnames in compose overrides
Phase 3,2026-07-03,Storage Layer MinIO,"app/storage/minio_client.py wrap minio SDK: get_presigned_put_url get_presigned_get_url put_object_bytes get_object_bytes. Object keys: raw-uploads/{kind}/{yyyy}/{mm}/{job_id}/{filename}; parsed/{job_id}/summary.json scan-chains.json; wafer-images/{lot}/{wafer}/{class}/wafer.png overlay.png; exports/{user_id}/{yyyy}/{mm}/{export_id}/report.pdf",app/storage/minio_client.py; build_raw_upload_key; build_export_key,PARTIAL,parse_worker never calls get/put; missing parsed JSON and wafer image key builders; verilumen-ai-artifacts bucket unused
Phase 4,2026-07-03,Cache Layer Redis,"app/cache/redis_client.py wrap redis.asyncio. Keys: session:{user_id} 24h; jwt:blacklist:{jti}; dash:exec and dash:{module}:{tab}:{filter_hash}:p{page} 60s; dash:wafer:{class}:{filter_hash} 120s; job:{id}:status and job:{id}:events 1h; ratelimit:{ip}:{route} 1m; notif:unread:{user_id} 30s; search:index:v1 5m. filter_cache_key helper. Invalidation: upload→dash:* alert→dash:alerts notif:* recommendation→dash:recommendation:*",app/cache/redis_client.py; app/middleware/rate_limit.py,PARTIAL,jwt blacklist + notif cache wired; rate limit middleware in main.py; job events use pub/sub + xadd stream
Phase 5,2026-07-03,Auth,"POST /auth/login /auth/refresh /auth/logout GET /auth/me PATCH /users/me/preferences. JWT python-jose bcrypt passlib. Access 15min refresh 7d. Refresh metadata in session:{user_id} revocation jwt:blacklist:{jti}",app/routers/auth.py; app/routers/users.py; app/core/security.py,"POST /api/v1/auth/login; POST /auth/refresh; POST /auth/logout; GET /auth/me; GET /users/me/preferences; PATCH /users/me/preferences",PARTIAL,Refresh validates session refresh_jti; logout blacklists access jti; session TTL 24h
Phase 6,2026-07-03,Uploads Presigned Flow + Worker,"POST /uploads/presign → upload_jobs queued presigned PUT. Frontend PUT to MinIO. POST /uploads/{id}/complete → parsing → ARQ parse_worker. GET status SSE via job:{id}:events. GET /uploads/data /uploads/log paginated. DELETE download 302 ai-summary. Worker: GET MinIO parse STDF/LOG PUT parsed JSON INSERT facts ai_log_summaries DEL cache",app/routers/uploads.py; app/workers/parse_worker.py,"POST /uploads/presign; POST /uploads/{id}/complete; GET /uploads/{id}; GET /uploads/{id}/status; GET /uploads/data; GET /uploads/log; DELETE /uploads/{id}; GET /uploads/{id}/download; GET /uploads/{id}/ai-summary",PARTIAL,Worker simulated with asyncio.sleep; no MinIO I/O; no fact table inserts; presign ignores metadata; delete skips MinIO object; SSE unauthenticated
Phase 7,2026-07-03,Dashboard Query Endpoints,"GlobalFilters: date_preset fab tester product lot wafer. Cached reads via filter_cache_key. Endpoints: GET /dashboard/executive scan-chain/{tab} mbist/{tab} lbist/{tab} wafer-analysis/overview wafer-analysis/{defect_class} uploads images/{upload_id}/{type} recommendation-analysis/{agent} cost-intelligence/{tab} alerts/{tab}. Response shapes match frontend src/types/*",app/routers/dashboard.py; app/services/dashboard_service.py; app/schemas/common.py,"GET /dashboard/executive; GET /dashboard/scan-chain/{tab}; GET /dashboard/mbist/{tab}; GET /dashboard/lbist/{tab}; GET /dashboard/wafer-analysis/overview; GET /dashboard/wafer-analysis/{defect_class}; GET /dashboard/wafer-analysis/{defect_class}/uploads; GET /dashboard/recommendation-analysis/{agent}; GET /dashboard/cost-intelligence/{tab}; GET /dashboard/alerts/{tab}; GET /search; GET /filters/options",PARTIAL,Missing GET wafer-analysis/images/{upload_id}/{type}; GlobalFilters not applied to SQL; empty patterns rows costTrend; wafer uploads hardcoded empty
Phase 8,2026-07-03,Notifications,"Postgres notifications table + notif:unread:{user_id} Redis cache. GET /notifications PATCH /notifications/read-all PATCH /notifications/{id}/read",app/routers/notifications.py; app/models/analytics.py (Notification),"GET /notifications; PATCH /notifications/read-all; PATCH /notifications/{id}/read",PARTIAL,notif:unread cache never read/written; no alert CRUD for invalidation hooks
Phase 7+,2026-07-03,AI Actions (Merged STEP 49),"POST /actions/primary/{page_id} POST /ai-diagnosis/{module} GET /actions/{job_id}/status SSE. Same job:{id}:status events pattern as uploads. ai_worker run_primary_action run_ai_diagnosis",app/routers/actions.py; app/workers/ai_worker.py,"POST /actions/primary/{page_id}; POST /ai-diagnosis/{module}; GET /actions/{job_id}/status",PARTIAL,Simulated results not real ML inference
Phase 7+,2026-07-03,Recommendation Feedback (Merged STEP 51),"POST /recommendations/{id}/feedback {action_taken outcome_metric outcome_value} → recommendation_feedback reward_value",app/routers/notifications.py (rec_router),"POST /recommendations/{id}/feedback",COMPLETE,No RL training pipeline consuming feedback yet
Phase 7+,2026-07-03,Export PDF (Merged STEP 52),"POST /export/pdf {title lines} → reportlab PDF → verilumen-exports MinIO → presigned URL",app/routers/notifications.py (export_router),"POST /export/pdf",COMPLETE,—
