Step,Date,Area,Prompt Title,Full Prompt,Generated Files,Status,Gaps
STEP 40,2026-07-03,Backend,Infra Foundation,"Extend docker-compose postgres redis minio minio-init worker. Env MINIO_* REDIS_* JWT_*. Dependencies fastapi uvicorn sqlalchemy alembic redis arq minio python-jose passlib pydantic-settings",../backend/docker-compose.yml; ../backend/requirements.txt; ../backend/Dockerfile; ../backend/.env.example,COMPLETE,Docker .env localhost hostnames
STEP 41,2026-07-03,Frontend,Consolidate Data Hooks,"Add useFiltered<Module>Data() hooks next to usePlatformData.ts reading useFilterStore returning kpis rows isLoading. Repoint 49 components from raw *Data.ts imports to hooks. Highest count first: recommendation alerts cost scan mbist lbist wafer",src/hooks/useRecommendationData.ts; useAlertsData.ts; useCostIntelligenceData.ts; useScanChainData.ts; useMbistData.ts; useLbistData.ts; useWaferData.ts; dataFilterUtils.ts; 49 component files,COMPLETE,—
STEP 42,2026-07-03,Frontend,API Client Scaffold,"NEXT_PUBLIC_API_URL and NEXT_PUBLIC_API_MODE=mock in .env.local. src/lib/api/client.ts fetch wrapper auth headers typed errors. Stubs for dashboard uploads auth notifications actions matching backend endpoints",src/lib/api/client.ts; dashboard.ts; uploads.ts; auth.ts; notifications.ts; actions.ts; config.ts; .env.local,COMPLETE,—
STEP 43,2026-07-03,Backend,Database Schema Reconciliation,"Alembic migrations for dims auth uploads analytics recommendations feedback indexes. Match 39-table schema or add missing. One migration per logical group per spec",../backend/app/models/*; ../backend/alembic/versions/001_initial_schema.py,PARTIAL,18 tables not full 39; monolithic migration
STEP 44,2026-07-03,Backend,Storage and Cache Clients,"minio_client presign put/get bytes. redis_client filter_cache_key session jwt blacklist dash keys job status events ratelimit notif unread search index",../backend/app/storage/minio_client.py; ../backend/app/cache/redis_client.py,PARTIAL,jwt blacklist notif unread rate limit gaps
STEP 45,2026-07-03,Full Stack,Auth,"Backend JWT login refresh logout me preferences. Frontend userStore session login page AuthGuard in DashboardLayout replace hardcoded Alex Johnson in uploads",../backend/app/routers/auth.py; users.py; src/app/login/page.tsx; src/stores/userStore.ts; src/components/providers/AuthGuard.tsx,COMPLETE,—
STEP 46,2026-07-03,Backend,Dashboard Search Filters Actions,"GET dashboard/* endpoints GlobalFilters cached Redis. GET search GET filters/options. POST actions/primary POST ai-diagnosis GET actions/{id}/status SSE",../backend/app/routers/dashboard.py; actions.py,PARTIAL,Filters not in SQL; wafer image route missing
STEP 47,2026-07-03,Frontend,Live-wire Dashboards,"Swap hook internals: mock useMemo vs live useQuery on NEXT_PUBLIC_API_MODE. searchPlatform → GET /search. Flip per module as endpoints land",src/hooks/usePlatformData.ts; useGlobalSearch.ts; module hooks,PARTIAL,Dashboard returns sparse data until DB seeded
STEP 48,2026-07-03,Full Stack,Uploads,"Backend presign complete SSE ARQ parse_worker. Frontend performFileUpload presign PUT complete SSE. Drop fileCache useQuery history presigned download in live modals",../backend/app/routers/uploads.py; parse_worker.py; src/lib/api/uploadFlow.ts; src/hooks/useUploadHistory.ts; UploadDataModal.tsx; UploadLogFileModal.tsx,PARTIAL,Mock path keeps simulateUpload; STDF parse stub
STEP 49,2026-07-03,Full Stack,AI Actions,"ai_worker primary action and AI diagnosis. Replace usePrimaryAction setTimeout with POST + SSE mapping to existing UI steps",../backend/app/workers/ai_worker.py; src/hooks/usePrimaryAction.ts,PARTIAL,Simulated results not real ML
STEP 50,2026-07-03,Full Stack,Notifications,"Backend notifications CRUD + Redis cache. Frontend useNotifications hook React Query replacing seed data in live mode",../backend/app/routers/notifications.py; src/hooks/useNotifications.ts; NotificationCenter.tsx,COMPLETE,—
STEP 51,2026-07-03,Full Stack,Recommendation Feedback,"POST /recommendations/{id}/feedback → recommendation_feedback reward_value. Frontend RecommendationActionButtons calls API in live mode",../backend/app/routers/notifications.py; RecommendationActionButtons.tsx,COMPLETE,No RL training pipeline
STEP 52,2026-07-03,Full Stack,Export PDF,"CSV Excel PNG client-side unchanged. exportPDF → POST /export/pdf reportlab MinIO presigned URL in live mode",../backend export_router; src/lib/exportUtils.ts,COMPLETE,—
STEP 53,2026-07-03,Backend,Production Hardening,"Postgres PITR MinIO replication Redis policy vault secrets rate limit RLS ClamAV OpenTelemetry — deferred checklist",../backend/PRODUCTION_HARDENING.md,MISSING,Intentional defer
